limit_pct,period,Date,equity
-0.7,TRAIN,2025-06-13,92.51151177435479
-0.7,TRAIN,2025-06-16,93.40887334369525
-0.7,TRAIN,2025-06-17,93.13956723366601
-0.7,TRAIN,2025-06-18,92.08265639707056
-0.7,TRAIN,2025-06-19,91.47069436926454
-0.7,TRAIN,2025-06-20,92.39498124127206
-0.7,TRAIN,2025-06-23,92.5023751290127
-0.7,TRAIN,2025-06-24,93.30957978382717
-0.7,TRAIN,2025-06-25,94.21194285375287
-0.7,TRAIN,2025-06-26,94.2119339589079
-0.7,TRAIN,2025-06-27,92.69771453989499
-0.7,TRAIN,2025-06-30,92.26089786325903
-0.7,TRAIN,2025-07-01,92.51132010031334
-0.7,TRAIN,2025-07-02,92.7679751070124
-0.7,TRAIN,2025-07-03,92.27291727064225
-0.7,TRAIN,2025-07-04,93.39262885626816
-0.7,TRAIN,2025-07-07,94.78591826987397
-0.7,TRAIN,2025-07-08,95.70869112462084
-0.7,TRAIN,2025-07-09,96.27561956992817
-0.7,TRAIN,2025-07-10,95.88168931268764
-0.7,TRAIN,2025-07-11,95.37593395719429
-0.7,TRAIN,2025-07-14,94.71744753064432
-0.7,TRAIN,2025-07-15,94.79732171565288
-0.7,TRAIN,2025-07-16,94.88668035822089
-0.7,TRAIN,2025-07-17,95.2971080187461
-0.7,TRAIN,2025-07-18,97.3535708887188
-0.7,TRAIN,2025-07-21,97.3535708887188
-0.7,TRAIN,2025-07-22,98.64895904043472
-0.7,TRAIN,2025-07-23,99.08314726482756
-0.7,TRAIN,2025-07-24,98.62826776710214
-0.7,TRAIN,2025-07-25,98.23384241494476
-0.7,TRAIN,2025-07-28,99.14924491084606
-0.7,TRAIN,2025-07-29,101.10811172267218
-0.7,TRAIN,2025-07-30,102.20140248639973
-0.7,TRAIN,2025-07-31,102.99613094912277
-0.7,TRAIN,2025-08-01,105.58862782141412
-0.7,TRAIN,2025-08-04,107.5336161686471
-0.7,TRAIN,2025-08-05,108.95548814951948
-0.7,TRAIN,2025-08-06,109.9037277203603
-0.7,TRAIN,2025-08-07,110.56141449306662
-0.7,TRAIN,2025-08-08,110.77789453789728
-0.7,TRAIN,2025-08-11,110.77789453789728
-0.7,TRAIN,2025-08-12,110.92219862480492
-0.7,TRAIN,2025-08-13,112.2407801181221
-0.7,TRAIN,2025-08-14,113.66314191561948
-0.7,TRAIN,2025-08-15,113.21180618696746
-0.7,TRAIN,2025-08-18,112.52475363820275
-0.7,TRAIN,2025-08-19,112.73930182166671
-0.7,TRAIN,2025-08-20,113.11176448880025
-0.7,TRAIN,2025-08-21,112.88429366050178
-0.7,TRAIN,2025-08-22,111.65614422707621
-0.7,TRAIN,2025-08-25,111.4060760040052
-0.7,TRAIN,2025-08-26,110.8204302860582
-0.7,TRAIN,2025-08-27,110.59657795649748
-0.7,TRAIN,2025-08-28,110.43306365936736
-0.7,TRAIN,2025-08-29,110.35959804766536
-0.7,TRAIN,2025-09-01,110.05375352305387
-0.7,TRAIN,2025-09-02,110.8093976552154
-0.7,TRAIN,2025-09-03,112.27431495974028
-0.7,TRAIN,2025-09-04,112.74352440629269
-0.7,TRAIN,2025-09-05,112.03846778386406
-0.7,TRAIN,2025-09-08,111.50025466687691
-0.7,TRAIN,2025-09-09,111.39294442555001
-0.7,TRAIN,2025-09-10,111.45924534645475
-0.7,TRAIN,2025-09-11,110.93078123009926
-0.7,TRAIN,2025-09-12,110.5850855925731
-0.7,TRAIN,2025-09-15,110.5850855925731
-0.7,TRAIN,2025-09-16,110.73253281383693
-0.7,TRAIN,2025-09-17,111.2244392287234
-0.7,TRAIN,2025-09-18,111.66879171109956
-0.7,TRAIN,2025-09-19,111.51819272991355
-0.7,TRAIN,2025-09-22,111.17868638032371
-0.7,TRAIN,2025-09-23,111.17868638032371
-0.7,TRAIN,2025-09-24,110.23072423832201
-0.7,TRAIN,2025-09-25,108.18689439700735
-0.7,TRAIN,2025-09-26,104.62656852165333
-0.7,TRAIN,2025-09-29,101.62614021341345
-0.7,TRAIN,2025-09-30,99.93209721428174
-0.7,VAL,2025-10-01,101.23036380066294
-0.7,VAL,2025-10-02,102.89071808672956
-0.7,VAL,2025-10-03,103.21044010177825
-0.7,VAL,2025-10-06,103.26730875861676
-0.7,VAL,2025-10-07,101.73767201981101
-0.7,VAL,2025-10-08,98.72199366174344
-0.7,VAL,2025-10-09,96.20316777738809
-0.7,VAL,2025-10-10,96.24669765229173
-0.7,VAL,2025-10-13,96.24669765229173
-0.7,VAL,2025-10-14,97.2911231317892
-0.7,VAL,2025-10-15,96.4102936125176
-0.7,VAL,2025-10-16,96.94360540021785
-0.7,VAL,2025-10-17,97.91515891377503
-0.7,VAL,2025-10-20,98.35495481993081
-0.7,VAL,2025-10-21,99.16511531383682
-0.7,VAL,2025-10-22,100.81448797363825
-0.7,VAL,2025-10-23,99.81607756360253
-0.7,VAL,2025-10-24,97.1900619572779
-0.7,VAL,2025-10-27,95.02753102217629
-0.7,VAL,2025-10-28,94.14991755290653
-0.7,VAL,2025-10-29,95.10856322863434
-0.7,VAL,2025-10-30,94.16111951929517
-0.7,VAL,2025-10-31,93.21866478672412
-0.7,VAL,2025-11-03,93.21866478672412
-0.7,VAL,2025-11-04,93.1697016329296
-0.7,VAL,2025-11-05,94.14357084379165
-0.7,VAL,2025-11-06,94.25479591584433
-0.7,VAL,2025-11-07,95.07985006831508
-0.7,VAL,2025-11-10,96.15849667995037
-0.7,VAL,2025-11-11,96.59238291472253
-0.7,VAL,2025-11-12,95.29921608732757
-0.7,VAL,2025-11-13,93.76122916593098
-0.7,VAL,2025-11-14,91.86999881260704
-0.7,VAL,2025-11-17,90.89779241650147
-0.7,VAL,2025-11-18,91.54669553705978
-0.7,VAL,2025-11-19,91.6978400154995
-0.7,VAL,2025-11-20,93.66927898975933
-0.7,VAL,2025-11-21,94.46410467810472
-0.7,VAL,2025-11-24,94.46410467810472
-0.7,VAL,2025-11-25,96.39112646881419
-0.7,VAL,2025-11-26,96.07664837880547
-0.7,VAL,2025-11-27,94.92764220148388
-0.7,VAL,2025-11-28,92.90574182333707
-0.7,VAL,2025-12-01,92.55761799625125
-0.7,VAL,2025-12-02,92.1511779748467
-0.7,VAL,2025-12-03,93.0781140699419
-0.7,VAL,2025-12-04,93.61535426143706
-0.7,VAL,2025-12-05,94.35853969956838
-0.7,VAL,2025-12-08,93.41466656914228
-0.7,VAL,2025-12-09,92.86862490435489
-0.7,VAL,2025-12-10,93.51782849700143
-0.7,VAL,2025-12-11,92.82758890340487
-0.7,VAL,2025-12-12,92.04253405042626
-0.7,VAL,2025-12-15,91.26183662394132
-0.7,VAL,2025-12-16,92.26090641197037
-0.7,VAL,2025-12-17,93.64317767734424
-0.7,VAL,2025-12-18,94.43180698839325
-0.7,VAL,2025-12-19,94.54749424496612
-0.7,VAL,2025-12-22,95.63444093368526
-0.7,VAL,2025-12-23,96.38839848877507
-0.7,VAL,2025-12-24,97.80794946731149
-0.7,VAL,2025-12-25,97.42955689216525
-0.7,VAL,2025-12-26,97.22033958815138
-0.7,VAL,2025-12-29,98.51295773021793
-0.7,VAL,2025-12-30,99.85737005199834
-0.7,VAL,2025-12-31,99.85737005199834
-0.7,VAL,2026-01-01,99.85737005199834
-0.7,VAL,2026-01-02,99.85737005199834
-0.7,VAL,2026-01-05,100.64072708703347
-0.7,VAL,2026-01-06,101.82657424540662
-0.7,VAL,2026-01-07,103.3026718953496
-0.7,VAL,2026-01-08,104.95357152710794
-0.7,VAL,2026-01-09,105.91788574278749
-0.7,VAL,2026-01-12,105.91788574278749
-0.7,VAL,2026-01-13,108.67711241991891
-0.7,VAL,2026-01-14,110.49875492016174
-0.7,VAL,2026-01-15,109.51787873642186
-0.7,VAL,2026-01-16,107.60734841449052
-0.7,VAL,2026-01-19,106.72424223700322
-0.7,VAL,2026-01-20,107.18435081662952
-0.7,VAL,2026-01-21,107.40299347443721
-0.7,VAL,2026-01-22,105.87330092509946
-0.7,VAL,2026-01-23,104.22537616383723
